Employee_Name,EmpID,PerfScoreID,FromDiversityJobFairID,Salary,Position,State,Zip,DOB,Age,Sex,MaritalDesc,CitizenDesc,DateofHire,DateofTermination,AttritionCount,EmploymentStatus,Department,ManagerName,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,DaysLateLast30,Absences
"Barbara, Thomas",10242,3,1,47211,Production Technician I,MA,2062,21-02-1974,49,M ,Married,US Citizen,02-04-2012,19-09-2016,1,Voluntarily Terminated,Production       ,Kissy Sullivan,Diversity Job Fair,Fully Meets,4.2,3,0,0,15
"Barbossa, Hector",10012,4,1,92328,Data Analyst,TX,78230,04-07-1988,35,M ,Divorced,US Citizen,10-11-2014,,0,Active,IT/IS,Simon Roup,Diversity Job Fair,Exceeds,4.28,4,5,0,9
"Barone, Francesco A",10265,3,0,58709,Production Technician I,MA,1810,20-07-1983,40,M ,Single,US Citizen,20-02-2012,,0,Active,Production       ,Kelley Spirea,Google Search,Fully Meets,4.6,4,0,0,7
"Barton, Nader",10066,3,0,52505,Production Technician I,MA,2747,15-07-1977,46,M ,Divorced,US Citizen,24-09-2012,06-04-2017,1,Voluntarily Terminated,Production       ,Michael Albert,On-line Web application,Fully Meets,5,5,0,0,1
"Bates, Norman",10061,3,0,57834,Production Technician I,MA,2050,18-10-1981,42,M ,Single,US Citizen,21-02-2011,04-08-2017,1,Terminated for Cause,Production       ,Kelley Spirea,Google Search,Fully Meets,5,4,0,0,20
"Beak, Kimberly",10023,4,0,70131,Production Technician II,MA,2145,17-04-1966,57,F,Married,US Citizen,21-07-2016,,0,Active,Production       ,Kelley Spirea,Employee Referral,Exceeds,4.4,3,0,0,16
"Beatrice, Courtney",10055,3,0,59026,Production Technician I,MA,1915,27-10-1970,53,F,Single,Eligible NonCitizen,04-04-2011,,0,Active,Production       ,Elijiah Gray,Google Search,Fully Meets,5,5,0,0,12
"Becker, Renee",10245,3,0,110000,Database Administrator,MA,2026,04-04-1986,37,F,Single,US Citizen,07-07-2014,12-09-2015,1,Terminated for Cause,IT/IS,Simon Roup,Google Search,Fully Meets,4.5,4,5,0,8
"Becker, Scott",10277,3,0,53250,Production Technician I,MA,2452,06-04-1979,44,M ,Single,US Citizen,08-07-2013,,0,Active,Production       ,Webster Butler,LinkedIn,Fully Meets,4.2,4,0,0,13
"Bernstein, Sean",10046,3,0,51044,Production Technician I,MA,2072,22-12-1970,52,M ,Single,US Citizen,02-04-2012,,0,Active,Production       ,Amy Dunn,Google Search,Fully Meets,5,3,0,0,13
"Biden, Lowan M",10226,3,0,64919,Production Technician I,MA,2027,27-12-1958,64,F,Divorced,US Citizen,19-08-2013,,0,Active,Production       ,Ketsia Liebig,Indeed,Fully Meets,4.2,3,0,0,2
"Billis, Helen",10003,4,0,62910,Production Technician I,MA,2031,01-09-1989,34,F,Married,US Citizen,07-07-2014,,0,Active,Production       ,Brannon Miller,Indeed,Exceeds,5,3,0,0,19
"Blount, Dianna",10294,2,0,66441,Production Technician II,MA,2171,21-09-1990,33,F,Single,US Citizen,04-04-2011,,0,Active,Production       ,Michael Albert,CareerBuilder,Needs Improvement,2,3,0,2,3
"Bondwell, Betsy",10267,3,0,57815,Production Technician II,MA,2210,16-01-1967,56,F,Single,US Citizen,10-01-2011,04-04-2014,1,Voluntarily Terminated,Production       ,Elijiah Gray,Google Search,Fully Meets,4.8,5,0,0,5
"Booth, Frank",10199,3,0,103613,Enterprise Architect,CT,6033,30-07-1964,59,M ,Single,US Citizen,17-02-2014,19-02-2016,1,Terminated for Cause,IT/IS,Simon Roup,LinkedIn,Fully Meets,3.5,5,7,0,2
"Boutwell, Bonalyn",10081,3,1,106367,Sr. Accountant,MA,2468,04-04-1987,36,F,Married,US Citizen,16-02-2015,,0,Active,Admin Offices,Brandon R. LeBlanc,Diversity Job Fair,Fully Meets,5,4,3,0,4
"Bozzi, Charles",10175,3,0,74312,Production Manager,MA,1901,10-03-1970,53,M ,Single,US Citizen,30-09-2013,07-08-2014,1,Voluntarily Terminated,Production       ,Janet King,Indeed,Fully Meets,3.39,3,0,0,14
"Brill, Donna",10177,3,0,53492,Production Technician I,MA,1701,24-08-1990,33,F,Married,US Citizen,02-04-2012,15-06-2013,1,Voluntarily Terminated,Production       ,David Stanley,Google Search,Fully Meets,3.35,4,0,0,6
"Brown, Mia",10238,3,1,63000,Accountant I,MA,1450,24-11-1987,35,F,Married,US Citizen,27-10-2008,,0,Active,Admin Offices,Brandon R. LeBlanc,Diversity Job Fair,Fully Meets,4.5,2,6,0,14
"Buccheri, Joseph",10184,3,0,65288,Production Technician II,MA,1013,28-07-1983,40,M ,Single,US Citizen,29-09-2014,,0,Active,Production       ,Webster Butler,Google Search,Fully Meets,3.19,3,0,0,9
"Bugali, Josephine",10203,3,1,64375,Production Technician I,MA,2043,30-10-1969,54,F,Separated,US Citizen,11-11-2013,,0,Active,Production       ,Kissy Sullivan,Diversity Job Fair,Fully Meets,3.5,5,0,0,17
"Bunbury, Jessica",10188,3,0,74326,Area Sales Manager,VA,21851,01-06-1964,59,F,Married,Eligible NonCitizen,15-08-2011,02-08-2014,1,Voluntarily Terminated,Sales,John Smith,Google Search,Fully Meets,3.14,5,0,1,19
"Burke, Joelle",10107,3,0,63763,Production Technician II,MA,2148,02-03-1980,43,F,Single,US Citizen,05-03-2012,,0,Active,Production       ,Amy Dunn,Employee Referral,Fully Meets,4.51,4,0,0,3
"Burkett, Benjamin",10181,3,0,62162,Production Technician II,MA,1890,19-08-1977,46,M ,Married,US Citizen,04-04-2011,,0,Active,Production       ,Ketsia Liebig,Indeed,Fully Meets,3.25,5,0,0,15
"Cady, Max",10150,3,0,77692,Software Engineering Manager,MA,2184,22-11-1966,56,M ,Single,US Citizen,15-08-2011,,0,Active,Software Engineering,Jennifer Zamora,Google Search,Fully Meets,3.84,3,5,0,4
"Candie, Calvin",10001,4,0,72640,Production Manager,MA,2169,09-08-1983,40,M ,Single,US Citizen,28-01-2016,,0,Active,Production       ,Janet King,Indeed,Exceeds,5,3,0,0,14
"Carabbio, Judith",10085,3,0,93396,Software Engineer,MA,2132,05-04-1987,36,F,Single,US Citizen,11-11-2013,,0,Active,Software Engineering,Alex Sweetwater,Indeed,Fully Meets,4.96,4,6,0,3
"Carey, Michael",10115,3,0,52846,Production Technician I,MA,1701,02-02-1983,40,M ,Single,US Citizen,31-03-2014,,0,Active,Production       ,Kelley Spirea,LinkedIn,Fully Meets,4.43,3,0,0,14
"Carr, Claudia N",10082,3,0,100031,Sr. DBA,MA,1886,06-06-1986,37,F,Single,US Citizen,30-06-2016,,0,Active,IT/IS,Simon Roup,LinkedIn,Fully Meets,5,5,6,0,7
"Carter, Michelle",10040,3,0,71860,Area Sales Manager,VT,5664,15-05-1963,60,F,Single,US Citizen,18-08-2014,,0,Active,Sales,John Smith,Indeed,Fully Meets,5,5,0,0,7
"Chace, Beatrice",10067,3,0,61656,Production Technician I,MA,2763,02-01-1951,72,F,Single,US Citizen,29-09-2014,,0,Active,Production       ,Michael Albert,Google Search,Fully Meets,5,4,0,0,11
"Champaigne, Brian",10108,3,0,110929,BI Director,MA,2045,09-02-1972,51,M ,Married,US Citizen,06-09-2016,,0,Active,IT/IS,Jennifer Zamora,Indeed,Fully Meets,4.5,5,7,0,8
"Chan, Lin",10210,3,0,54237,Production Technician I,MA,2170,12-02-1979,44,F,Single,US Citizen,12-05-2014,,0,Active,Production       ,Elijiah Gray,Indeed,Fully Meets,3.3,4,0,0,11
"Chang, Donovan E",10154,3,0,60380,Production Technician I,MA,1845,24-08-1983,40,M ,Single,US Citizen,08-07-2013,,0,Active,Production       ,Webster Butler,LinkedIn,Fully Meets,3.8,5,0,0,4
"Chigurh, Anton",10200,3,0,66808,Area Sales Manager,TX,78207,11-06-1970,53,M ,Single,Eligible NonCitizen,14-05-2012,,0,Active,Sales,Lynn Daneault,Employee Referral,Fully Meets,3,5,0,0,17
"Chivukula, Enola",10240,3,0,64786,Production Technician I,MA,1775,27-08-1983,40,F,Single,US Citizen,27-06-2011,15-11-2015,1,Voluntarily Terminated,Production       ,Amy Dunn,Indeed,Fully Meets,4.3,4,0,0,3
"Cierpiszewski, Caroline",10168,3,0,64816,Production Technician I,MA,2044,31-05-1988,35,F,Single,Non-Citizen,03-10-2011,,0,Active,Production       ,Ketsia Liebig,Indeed,Fully Meets,3.58,5,0,0,3
"Clayton, Rick",10220,3,0,68678,IT Support,MA,2170,05-09-1985,38,M ,Single,US Citizen,05-09-2012,,0,Active,IT/IS,Eric Dougall,Indeed,Fully Meets,4.7,3,6,0,2
"Cloninger, Jennifer",10275,3,0,64066,Production Technician II,MA,1752,31-08-1981,42,F,Married,US Citizen,16-05-2011,07-01-2013,1,Voluntarily Terminated,Production       ,Brannon Miller,Google Search,Fully Meets,4.2,5,0,0,9
"Close, Phil",10269,3,0,59369,Production Technician II,MA,2169,25-11-1978,44,M ,Married,US Citizen,30-08-2010,26-09-2011,1,Voluntarily Terminated,Production       ,David Stanley,Indeed,Fully Meets,4.2,4,0,0,6
"Clukey, Elijian",10029,4,0,50373,Production Technician I,MA,2134,26-08-1980,43,M ,Married,US Citizen,06-07-2016,,0,Active,Production       ,Brannon Miller,Employee Referral,Exceeds,4.1,4,0,0,5
"Cockel, James",10261,3,0,63108,Production Technician I,MA,2452,08-09-1977,46,M ,Single,US Citizen,08-07-2013,,0,Active,Production       ,David Stanley,Employee Referral,Fully Meets,4.4,5,0,0,3
"Cole, Spencer",10292,2,0,59144,Production Technician I,MA,1880,12-08-1979,44,M ,Single,US Citizen,11-07-2011,23-09-2016,1,Terminated for Cause,Production       ,Kissy Sullivan,LinkedIn,Needs Improvement,2,3,0,5,16
"Corleone, Michael",10282,2,0,68051,Production Manager,MA,1803,17-12-1975,47,M ,Divorced,US Citizen,20-07-2010,,0,Active,Production       ,Janet King,CareerBuilder,Needs Improvement,4.13,2,0,3,3
"Corleone, Vito",10019,4,0,170500,Director of Operations,MA,2030,19-03-1983,40,M ,Single,US Citizen,05-01-2009,,0,Active,Production       ,Janet King,Indeed,Exceeds,3.7,5,0,0,15
"Cornett, Lisa",10094,3,0,63381,Production Technician I,MA,2189,31-03-1977,46,F,Married,US Citizen,05-01-2015,,0,Active,Production       ,Kelley Spirea,Indeed,Fully Meets,4.73,5,0,0,6
"Costello, Frank",10193,3,0,83552,Data Analyst,MA,1810,26-08-1986,37,M ,Married,US Citizen,30-03-2015,,0,Active,IT/IS,Simon Roup,Indeed,Fully Meets,3.04,3,6,0,2
"Crimmings, Jean",10132,3,0,56149,Production Technician I,MA,1821,10-04-1987,36,F,Single,US Citizen,06-07-2016,,0,Active,Production       ,Michael Albert,LinkedIn,Fully Meets,4.12,5,0,0,15
"Cross, Noah",10083,3,0,92329,Sr. Network Engineer,CT,6278,09-09-1965,58,M ,Single,US Citizen,10-11-2014,,0,Active,IT/IS,Peter Monroe,Employee Referral,Fully Meets,5,3,4,0,5
"Daneault, Lynn",10099,3,0,65729,Sales Manager,VT,5473,19-04-1990,33,F,Single,US Citizen,05-05-2014,,0,Active,Sales,Debra Houlihan,Indeed,Fully Meets,4.62,4,0,0,8
"Daniele, Ann",10212,3,0,85028,Sr. Network Engineer,CT,6033,18-01-1952,71,F,Married,US Citizen,10-11-2014,,0,Active,IT/IS,Peter Monroe,LinkedIn,Fully Meets,3.1,5,8,0,19
"Darson, Jene'ya",10056,3,0,57583,Production Technician I,MA,2110,05-11-1978,45,F,Married,US Citizen,02-07-2012,,0,Active,Production       ,Elijiah Gray,Indeed,Fully Meets,5,3,0,0,1
"Davis, Daniel",10143,3,0,56294,Production Technician II,MA,2458,14-09-1979,44,M ,Single,Eligible NonCitizen,07-11-2011,,0,Active,Production       ,Kissy Sullivan,LinkedIn,Fully Meets,3.96,4,0,0,6
"Dee, Randy",10311,1,0,56991,Production Technician I,MA,2138,15-04-1988,35,M ,Married,US Citizen,09-07-2018,,0,Active,Production       ,Brannon Miller,Indeed,Fully Meets,4.3,4,3,2,2
"DeGweck, James",10070,3,0,55722,Production Technician I,MA,1810,31-10-1977,46,M ,Married,US Citizen,16-05-2011,08-06-2016,1,Voluntarily Terminated,Production       ,Webster Butler,Indeed,Fully Meets,5,4,0,0,14
"Del Bosque, Keyla",10155,3,0,101199,Software Engineer,MA,2176,05-07-1979,44,F,Single,US Citizen,09-01-2012,,0,Active,Software Engineering,Alex Sweetwater,CareerBuilder,Fully Meets,3.79,5,5,0,8
"Delarge, Alex",10306,1,0,61568,Area Sales Manager,AL,36006,02-11-1975,48,M ,Single,US Citizen,29-09-2014,,0,Active,Sales,John Smith,Indeed,PIP,1.93,3,0,6,5
"Demita, Carla",10100,3,0,58275,Production Technician II,MA,2343,25-02-1951,72,F,Separated,US Citizen,04-04-2011,04-11-2015,1,Voluntarily Terminated,Production       ,Kelley Spirea,Google Search,Fully Meets,4.62,5,0,0,1
"Desimone, Carl",10310,1,0,53189,Production Technician I,MA,2061,19-04-1967,56,M ,Married,US Citizen,07-07-2014,,0,Active,Production       ,Amy Dunn,Indeed,PIP,1.12,2,0,4,9
"DeVito, Tommy",10197,3,0,96820,BI Developer,MA,2045,04-09-1983,40,M ,Single,US Citizen,15-02-2017,,0,Active,IT/IS,Brian Champaigne,Indeed,Fully Meets,3.01,5,7,0,15
"Dickinson, Geoff",10276,3,0,51259,Production Technician I,MA,2180,15-11-1982,40,M ,Single,US Citizen,12-05-2014,,0,Active,Production       ,Ketsia Liebig,Indeed,Fully Meets,4.3,4,0,0,1
"Dietrich, Jenna",10304,1,0,59231,Area Sales Manager,WA,98052,14-05-1987,36,F,Single,US Citizen,20-02-2012,,0,Active,Sales,John Smith,Website,PIP,2.3,1,0,2,17
"DiNocco, Lily",10284,2,0,61584,Production Technician I,MA,2351,02-12-1978,44,F,Married,US Citizen,07-01-2013,,0,Active,Production       ,Brannon Miller,Indeed,Needs Improvement,3.88,4,0,0,6
"Dobrin, Denisa S",10207,3,0,46335,Production Technician I,MA,2125,07-10-1986,37,F,Single,US Citizen,02-04-2012,,0,Active,Production       ,David Stanley,CareerBuilder,Fully Meets,3.4,5,0,0,15
"Dolan, Linda",10133,3,0,70621,IT Support,MA,2119,18-07-1988,35,F,Married,US Citizen,05-01-2015,,0,Active,IT/IS,Peter Monroe,Employee Referral,Fully Meets,4.11,4,6,0,16
"Dougall, Eric",10028,4,0,138888,IT Manager - Support,MA,1886,09-07-1970,53,M ,Single,US Citizen,05-01-2014,,0,Active,IT/IS,Jennifer Zamora,Indeed,Exceeds,4.3,5,5,0,4
"Driver, Elle",10006,4,0,74241,Area Sales Manager,CA,90007,08-11-1988,35,F,Single,US Citizen,10-01-2011,,0,Active,Sales,Lynn Daneault,Indeed,Exceeds,4.77,5,0,0,14
"Dunn, Amy",10105,3,0,75188,Production Manager,MA,1731,28-11-1973,49,F,Single,US Citizen,18-09-2014,,0,Active,Production       ,Janet King,Google Search,Fully Meets,4.52,4,0,0,4
"Dunne, Amy",10211,3,0,62514,Production Technician I,MA,1749,23-09-1973,50,F,Married,US Citizen,26-04-2010,,0,Active,Production       ,Ketsia Liebig,Google Search,Fully Meets,2.9,3,0,0,6
"Eaton, Marianne",10064,3,0,60070,Production Technician I,MA,2343,05-09-1991,32,F,Married,US Citizen,04-04-2011,06-06-2017,1,Voluntarily Terminated,Production       ,Kissy Sullivan,Google Search,Fully Meets,5,3,0,0,7
"Engdahl, Jean",10247,3,0,48888,Production Technician I,MA,2026,31-05-1974,49,M ,Single,US Citizen,10-11-2014,,0,Active,Production       ,Kelley Spirea,LinkedIn,Fully Meets,4.7,5,0,0,8
"England, Rex",10235,3,0,54285,Production Technician I,MA,2045,25-08-1978,45,M ,Married,US Citizen,31-03-2014,,0,Active,Production       ,Kelley Spirea,Employee Referral,Fully Meets,4.2,3,0,0,3
"Erilus, Angela",10299,1,0,56847,Production Technician II,MA,2133,25-08-1989,34,F,Separated,US Citizen,07-07-2014,,0,Active,Production       ,Michael Albert,Indeed,PIP,3,1,0,2,5
"Estremera, Miguel",10280,2,0,60340,Production Technician I,MA,2129,02-09-1983,40,M ,Single,US Citizen,02-04-2012,27-09-2018,1,Terminated for Cause,Production       ,Michael Albert,Google Search,Needs Improvement,5,4,0,5,16
"Evensen, April",10296,2,0,59124,Production Technician I,MA,2458,06-05-1989,34,F,Single,US Citizen,17-02-2014,25-02-2018,1,Terminated for Cause,Production       ,Elijiah Gray,Google Search,Needs Improvement,2.3,3,0,5,19
"Exantus, Susan",10290,2,0,99280,Software Engineer,MA,1749,15-05-1987,36,F,Married,US Citizen,02-05-2011,05-06-2013,1,Terminated for Cause,Software Engineering,Alex Sweetwater,Indeed,Needs Improvement,2.1,5,4,4,19
"Faller, Megan",10263,3,0,71776,Production Technician II,MA,1824,22-09-1978,45,F,Married,US Citizen,07-07-2014,,0,Active,Production       ,Elijiah Gray,LinkedIn,Fully Meets,4.4,5,0,0,17
"Fancett, Nicole",10136,3,0,65902,Production Technician II,MA,2324,27-09-1987,36,F,Single,US Citizen,17-02-2014,,0,Active,Production       ,Webster Butler,LinkedIn,Fully Meets,4,4,0,0,7
"Ferguson, Susan",10189,3,0,57748,Production Technician I,MA,2176,14-04-1955,68,F,Married,US Citizen,07-11-2011,17-05-2016,1,Voluntarily Terminated,Production       ,Webster Butler,Google Search,Fully Meets,3.13,3,0,0,16
"Fernandes, Nilson",10308,1,0,64057,Production Technician I,MA,2132,18-10-1989,34,M ,Married,US Citizen,11-05-2015,,0,Active,Production       ,Amy Dunn,Indeed,PIP,1.56,5,0,6,15
"Fett, Boba",10309,1,0,53366,Network Engineer,MA,2138,18-06-1987,36,M ,Single,US Citizen,30-03-2015,,0,Active,IT/IS,Peter Monroe,LinkedIn,PIP,1.2,3,6,3,2
"Fidelia, Libby",10049,3,0,58530,Production Technician I,MA,2155,16-03-1981,42,F,Married,US Citizen,09-01-2012,,0,Active,Production       ,Brannon Miller,Google Search,Fully Meets,5,5,0,0,19
"Fitzpatrick, Michael J",10093,3,0,72609,Production Technician II,MA,2143,01-10-1981,42,M ,Single,US Citizen,16-05-2011,24-06-2013,1,Voluntarily Terminated,Production       ,Amy Dunn,Google Search,Fully Meets,4.76,5,0,0,20
"Foreman, Tanya",10163,3,0,55965,Production Technician II,MA,2170,08-11-1983,40,F,Married,US Citizen,04-04-2011,09-01-2013,1,Voluntarily Terminated,Production       ,Ketsia Liebig,Google Search,Fully Meets,3.66,3,0,0,6
"Forrest, Alex",10305,3,0,70187,Area Sales Manager,MA,2330,07-07-1975,48,M ,Married,US Citizen,29-09-2014,19-08-2018,1,Terminated for Cause,Sales,Lynn Daneault,Employee Referral,PIP,2,5,0,4,7
"Foss, Jason",10015,4,0,178000,IT Director,MA,1460,05-07-1980,43,M ,Single,US Citizen,15-04-2011,,0,Active,IT/IS,Jennifer Zamora,Indeed,Exceeds,5,5,5,0,15
"Foster-Baker, Amy",10080,3,0,99351,Sr. Accountant,MA,2050,16-04-1979,44,F,Married,US Citizen,05-01-2009,,0,Active,Admin Offices,Board of Directors,Other,Fully Meets,5,3,2,0,3
"Fraval, Maruk",10258,3,0,67251,Area Sales Manager,CT,6050,28-08-1963,60,M ,Single,US Citizen,06-09-2011,,0,Active,Sales,Lynn Daneault,CareerBuilder,Fully Meets,4.3,3,0,2,7
"Galia, Lisa",10273,3,0,65707,IT Support,CT,6040,06-07-1968,55,F,Single,US Citizen,01-05-2010,,0,Active,IT/IS,Eric Dougall,LinkedIn,Fully Meets,4.7,4,5,0,1
"Garcia, Raul",10111,3,0,52249,Production Technician I,MA,1905,15-09-1985,38,M ,Single,US Citizen,30-03-2015,,0,Active,Production       ,David Stanley,Employee Referral,Fully Meets,4.5,3,0,0,5
"Gaul, Barbara",10257,3,0,53171,Production Technician I,MA,2121,02-12-1983,39,F,Single,US Citizen,16-05-2011,,0,Active,Production       ,Kelley Spirea,LinkedIn,Fully Meets,4.2,4,0,0,12
"Gentry, Mildred",10159,3,0,51337,Production Technician I,MA,2145,01-10-1990,33,F,Married,US Citizen,30-03-2015,,0,Active,Production       ,Michael Albert,LinkedIn,Fully Meets,3.73,3,0,0,19
"Gerke, Melisa",10122,3,1,51505,Production Technician I,MA,2330,15-05-1970,53,F,Divorced,US Citizen,07-11-2011,15-11-2016,1,Voluntarily Terminated,Production       ,Elijiah Gray,Diversity Job Fair,Fully Meets,4.24,4,0,0,2
"Gill, Whitney",10142,3,0,59370,Area Sales Manager,OH,43050,10-07-1971,52,F,Widowed,US Citizen,07-07-2014,05-09-2015,1,Terminated for Cause,Sales,John Smith,CareerBuilder,Fully Meets,3.97,4,0,0,7
"Gilles, Alex",10283,2,1,54933,Production Technician I,MA,2062,09-08-1974,49,M ,Married,US Citizen,02-04-2012,25-06-2015,1,Voluntarily Terminated,Production       ,Webster Butler,Diversity Job Fair,Needs Improvement,3.97,4,0,3,15
"Girifalco, Evelyn",10018,4,0,57815,Production Technician I,MA,2451,08-05-1980,43,F,Single,US Citizen,29-09-2014,,0,Active,Production       ,Amy Dunn,Indeed,Exceeds,3.9,4,0,0,3
"Givens, Myriam",10255,3,0,61555,Area Sales Manager,IN,46204,22-09-1989,34,F,Single,US Citizen,16-02-2015,,0,Active,Sales,Lynn Daneault,Indeed,Fully Meets,4.5,5,0,0,20
"Goble, Taisha",10246,3,0,114800,Database Administrator,MA,2127,23-10-1971,52,F,Single,US Citizen,16-02-2015,15-03-2015,1,Terminated for Cause,IT/IS,Simon Roup,Indeed,Fully Meets,4.6,4,4,0,10
"Goeth, Amon",10228,3,0,74679,IT Support,MA,2135,24-11-1989,33,M ,Married,US Citizen,30-03-2015,,0,Active,IT/IS,Peter Monroe,LinkedIn,Fully Meets,4.3,5,7,0,20
"Gold, Shenice",10243,3,0,53018,Production Technician I,MA,2451,18-06-1992,31,F,Single,US Citizen,11-11-2013,,0,Active,Production       ,Ketsia Liebig,Indeed,Fully Meets,4.3,5,0,0,7
"Gonzalez, Cayo",10031,4,1,59892,Production Technician I,MA,2108,29-09-1969,54,M ,Divorced,US Citizen,11-07-2011,,0,Active,Production       ,Brannon Miller,Diversity Job Fair,Exceeds,4.5,4,0,0,1
"Gonzalez, Juan",10300,1,1,68898,Production Technician II,MA,2128,12-10-1964,59,M ,Married,US Citizen,26-04-2010,30-05-2011,1,Voluntarily Terminated,Production       ,Brannon Miller,Diversity Job Fair,PIP,3,3,0,3,10
"Gonzalez, Maria",10101,3,0,61242,IT Support,MA,2472,16-04-1981,42,F,Separated,US Citizen,05-01-2015,,0,Active,IT/IS,Peter Monroe,Employee Referral,Fully Meets,4.61,4,5,0,11
"Good, Susan",10237,3,0,66825,Production Technician II,MA,1886,25-05-1986,37,F,Married,US Citizen,12-05-2014,,0,Active,Production       ,David Stanley,LinkedIn,Fully Meets,4.6,3,0,0,20
"Gordon, David",10051,3,0,48285,Production Technician I,MA,2169,21-05-1979,44,M ,Married,US Citizen,02-07-2012,,0,Active,Production       ,David Stanley,LinkedIn,Fully Meets,5,3,0,0,2
"Gosciminski, Phylicia",10218,3,0,66149,Production Technician II,MA,1824,08-12-1983,39,F,Separated,US Citizen,30-09-2013,,0,Active,Production       ,Kissy Sullivan,Google Search,Fully Meets,4.4,5,0,0,1
"Goyal, Roxana",10256,3,0,49256,Production Technician I,MA,1864,09-10-1974,49,F,Married,US Citizen,19-08-2013,,0,Active,Production       ,Kissy Sullivan,LinkedIn,Fully Meets,4.1,5,0,0,3
"Gray, Elijiah",10098,3,0,62957,Production Manager,MA,1752,11-07-1981,42,M ,Divorced,US Citizen,02-06-2015,,0,Active,Production       ,Janet King,Employee Referral,Fully Meets,4.63,3,0,0,2
"Gross, Paula",10059,3,0,63813,Production Technician I,MA,2176,21-05-1983,40,F,Divorced,US Citizen,21-02-2011,11-01-2014,1,Voluntarily Terminated,Production       ,Kelley Spirea,CareerBuilder,Fully Meets,5,5,0,0,17
"Gruber, Hans",10234,3,0,99020,BI Developer,MA,2134,30-06-1989,34,M ,Married,US Citizen,20-04-2017,,0,Active,IT/IS,Brian Champaigne,Indeed,Fully Meets,4.2,5,5,0,8
"Guilianno, Mike",10109,3,0,71707,Area Sales Manager,TN,37129,09-02-1969,54,M ,Single,US Citizen,07-03-2012,31-10-2014,1,Voluntarily Terminated,Sales,John Smith,LinkedIn,Fully Meets,4.5,5,0,0,20
"Handschiegl, Joanne",10125,3,0,54828,Production Technician I,MA,2127,23-03-1977,46,F,Married,US Citizen,28-11-2011,,0,Active,Production       ,Michael Albert,Google Search,Fully Meets,4.2,4,0,0,13
"Hankard, Earnest",10074,3,0,64246,Production Technician II,MA,2155,10-08-1988,35,M ,Single,US Citizen,11-11-2013,,0,Active,Production       ,Kelley Spirea,LinkedIn,Fully Meets,5,3,0,0,20
"Harrington, Christie",10097,3,0,52177,Production Technician I,MA,2324,18-08-1952,71,F,Single,US Citizen,09-01-2012,15-12-2015,1,Voluntarily Terminated,Production       ,Webster Butler,CareerBuilder,Fully Meets,4.64,4,0,0,8
